Species	SeqID	Sigma	Phi
Amh3	NC_037638.1	0.6581556182292668	0.8265078183172003
Amh3	NC_037639.1	0.6290135295860203	0.7975708502024291
Amh3	NC_037640.1	0.6564458932627862	0.8295964125560538
Amh3	NC_037641.1	0.6009329339132636	0.8119935170178282
Amh3	NC_037642.1	0.6456736105912546	0.8521400778210116
Amh3	NC_037643.1	0.6362370788157846	0.7859154929577464
Amh3	NC_037644.1	0.566154564670205	0.7885714285714286
Amh3	NC_037645.1	0.6007485246174483	0.8161375661375662
Amh3	NC_037646.1	0.6165993387765601	0.7649186256781193
Amh3	NC_037647.1	0.5974214707512886	0.7942122186495176
Amh3	NC_037648.1	0.6102948765784393	0.8036322360953462
Amh3	NC_037649.1	0.5806790577425681	0.7963386727688787
Amh3	NC_037650.1	0.4606372998977136	0.6642685851318945
Amh3	NC_037651.1	0.6588541110207429	0.8234234234234235
Amh3	NC_037652.1	0.6345720316555628	0.8399311531841652
Amh3	NC_037653.1	0.6839587541667629	0.8367346938775511
Agam	NC_004818.2	0.08443868792189804	0.2635135135135135
Agam	NT_078265.2	0.17007842183282326	0.5462123957955781
Agam	NT_078266.2	0.20000927562422102	0.6042141230068337
Agam	NT_078267.5	0.11130916982788004	0.4496951219512195
Agam	NT_078268.4	0.11679796425962996	0.46350515463917524
Aech	NW_011626409.1	0.4650676876586578	0.7045454545454546
Aech	NW_011626625.1	0.28454054096774	0.6512605042016807
Aech	NW_011626762.1	0.48748696311121553	0.7175572519083969
Aech	NW_011626806.1	0.2776117783469536	0.5760869565217391
Aech	NW_011626826.1	0.5688762448215151	0.6987179487179487
Aech	NW_011626920.1	0.5032491050397038	0.6875
Aech	NW_011626951.1	0.3609872482150208	0.5119047619047619
Aech	NW_011626984.1	0.3433353684389953	0.65
Aech	NW_011626988.1	0.3217893901248614	0.6124401913875598
Aech	NW_011627020.1	0.22716275242242212	0.6504065040650406
Aech	NW_011627021.1	0.4019190316131267	0.5794392523364486
Aech	NW_011627033.1	0.45476332703043804	0.6666666666666666
Aech	NW_011627046.1	0.2263551738786831	0.6703910614525139
Aech	NW_011627088.1	0.42893286702155053	0.5116279069767442
Aech	NW_011627093.1	0.34959417374257296	0.6185567010309279
Aech	NW_011627104.1	0.509321776247682	0.6610169491525424
Aech	NW_011627124.1	0.33020793804580545	0.6568627450980392
Aech	NW_011627125.1	0.3361189506582063	0.5968992248062015
Aech	NW_011627135.1	0.3499364106857125	0.6619718309859155
Aech	NW_011627161.1	0.35915115966799044	0.6049382716049383
Aech	NW_011627302.1	0.4779249367705296	0.6597938144329897
Aech	NW_011627322.1	0.2947736593940391	0.5517241379310345
Aech	NW_011627352.1	0.3817394524744106	0.5263157894736842
Aech	NW_011627381.1	0.2874694489386538	0.6911764705882353
Aech	NW_011627388.1	0.3758625637456703	0.48717948717948717
Aech	NW_011627416.1	0.19239081408199604	0.6388888888888888
Aech	NW_011627542.1	0.29328667396683433	0.5606936416184971
Aech	NW_011627736.1	0.39860657671658367	0.7449664429530202
Aech	NW_011627746.1	0.38448179439601726	0.5688073394495413
Aech	NW_011627850.1	0.3524416738971753	0.6735751295336787
Dmel	NC_004354.4	0.6694433815964496	0.8479036574487065
Dmel	NC_024512.1	0.02281034230297023	0.3333333333333333
Dmel	NT_033777.3	0.6710450706610305	0.8370739817123857
Dmel	NT_033778.4	0.5855192721903194	0.8310880829015544
Dmel	NT_033779.5	0.6080666136202683	0.837856891082129
Dmel	NT_037436.4	0.6228166835241215	0.842797783933518
Pdom	NW_015148970.1	0.4010032424936636	0.7565982404692082
Pdom	NW_015148971.1	0.4467649073241728	0.7697841726618705
Pdom	NW_015148972.1	0.4096557131571586	0.7723880597014925
Pdom	NW_015148973.1	0.5431134112608191	0.8083067092651757
Pdom	NW_015148974.1	0.43452439357158307	0.7257142857142858
Pdom	NW_015148975.1	0.4277354168341213	0.7509578544061303
Pdom	NW_015148976.1	0.2936640240255526	0.7379310344827587
Pdom	NW_015148977.1	0.42215680208803485	0.7740112994350282
Pdom	NW_015148978.1	0.47668697779232466	0.8333333333333334
Pdom	NW_015148979.1	0.3515503468297777	0.6964285714285714
Pdom	NW_015148980.1	0.35238272375368146	0.7285714285714285
Pdom	NW_015148981.1	0.16686447886809683	0.6349206349206349
Pdom	NW_015148982.1	0.41571884278822585	0.759493670886076
Pdom	NW_015148983.1	0.49479669845785973	0.7121212121212122
Pdom	NW_015148984.1	0.5964036405407793	0.6341463414634146
Pdom	NW_015148985.1	0.2589509555763491	0.5294117647058824
Pdom	NW_015148986.1	0.33963663693904567	0.7196969696969697
Pdom	NW_015148987.1	0.1693809415925971	0.6630434782608695
Pdom	NW_015148988.1	0.3825851749911306	0.8382352941176471
Pdom	NW_015148989.1	0.4153307523119863	0.5925925925925926
